label,env_note,concurrency,duration_s,attempts,successes,errors,rps_success,p50_ms,p95_ms,p99_ms,max_ms,error_rate
Write H 8,https://csce-553-team.onrender.com,8,60.19,1850,0,1850,0.0,244.07,364.75,406.0,1236.36,1.0
Write H 8,https://csce-553-team.onrender.com,8,60.742,1609,0,1609,0.0,272.07,424.59,687.37,1843.58,1.0
Write H 8,https://csce-553-team.onrender.com,8,60.521,892,892,0,14.739,531.8,711.01,784.72,1014.01,0.0
H-health-c2,https://csce-553-team.onrender.com,2,60.548,207,207,0,3.419,568.76,774.79,1150.77,1419.51,0.0
H-health-c2,https://csce-553-team.onrender.com,8,60.341,1730,0,1730,0.0,254.89,397.05,461.39,1225.57,1.0
H-health-c2,https://csce-553-team.onrender.com,8,60.928,1475,0,1475,0.0,296.01,436.05,910.01,1475.24,1.0
H-health-c2,https://csce-553-team.onrender.com,8,60.207,1775,0,1775,0.0,254.6,335.5,470.47,5262.85,1.0
H-health-c2,https://csce-553-team.onrender.com,1,60.052,186,0,186,0.0,283.57,414.4,1499.53,1930.02,1.0
Read H 1,https://csce-553-team.onrender.com,1,60.156,208,0,208,0.0,250.95,341.45,526.35,6288.7,1.0
Read H 1,https://csce-553-team.onrender.com,1,60.136,403,0,403,0.0,139.39,201.83,298.55,511.16,1.0
test,http://127.0.0.1:8000,1,60.001,4019,0,4019,0.0,15.6,24.43,27.37,75.53,1.0
test,http://127.0.0.1:8000,1,60.012,4570,0,4570,0.0,15.25,23.88,27.99,31.01,1.0
test,http://127.0.0.1:8000,1,60.131,145,145,0,2.411,409.02,463.8,493.01,509.65,0.0
test,https://csce-553-team.onrender.com,1,60.332,112,112,0,1.856,622.56,725.27,790.68,792.09,0.0
