latency_ms,status,error
1662.30500000529,200,
1664.8193998262286,200,
2303.51800005883,500,http
2318.1586998980492,500,http
670.4572001472116,200,
711.0272999852896,200,
648.6688998993486,200,
653.586900094524,200,
674.0788999013603,200,
661.0933998599648,200,
650.6214998662472,200,
685.9676998574287,200,
689.843000145629,200,
656.1324999202043,200,
8209.68999993056,500,http
8214.738400187343,500,http
8367.63450014405,500,http
8572.872299933806,500,http
1622.0571000594646,200,
2396.280199987814,500,http
2383.8945000898093,500,http
2269.534599967301,500,http
642.0358999166638,200,
670.5770001281053,200,
665.5580999795347,200,
1191.518299980089,200,
1630.9104999527335,200,
2256.541700102389,500,http
8405.572299845517,500,http
8244.737199973315,500,http
8383.09930008836,500,http
8530.866999877617,500,http
2877.896700054407,500,http
3994.712800020352,500,http
2892.332199960947,500,http
1508.6127000395209,200,
1682.7321001328528,200,
3837.650700006634,500,http
1746.6850001364946,200,
653.801399981603,200,
671.2909999769181,200,
674.1655999794602,200,
652.1451999433339,200,
652.5956999976188,200,
652.482399949804,200,
674.5643001049757,200,
650.5531000439078,200,
666.7843998875469,200,
651.663800003007,200,
675.5014001391828,200,
8271.029599942267,500,http
8074.234500061721,500,http
8374.806400155649,500,http
8371.911199996248,500,http
1184.346899855882,200,
1212.8543998114765,200,
1719.0872998908162,200,
2451.47250010632,500,http
946.0468001198024,200,
952.5851998478174,200,
1113.5939001105726,200,
1218.7473999802023,200,
1136.36239990592,200,
1252.3735000286251,200,
1247.2809997852892,200,
977.8970000334084,200,
868.9833998214453,200,
8690.374800004065,500,http
8422.714800108224,500,http
8581.49979985319,500,http
8957.938500214368,500,http
1637.8482999280095,200,
2738.760699983686,500,http
2283.38890010491,500,http
2907.6023001689464,500,http
669.7510001249611,200,
668.5120000038296,200,
688.3508998434991,200,
1142.0050000306219,200,
8186.306399991736,500,http
8352.161699905992,500,http
8397.934599779546,500,http
8414.325899910182,500,http
