label,env_note,concurrency,duration_s,attempts,successes,errors,rps_success,p50_ms,p95_ms,p99_ms,max_ms,error_rate
run,https://csce-553-team.onrender.com,4,60.243,409,409,0,6.789,566.42,724.7,889.68,1570.86,0.0
run,https://csce-553-team.onrender.com,4,60.462,436,436,0,7.211,541.1,652.39,730.75,1166.52,0.0
localhost,http://127.0.0.1:8000,4,60.027,7387,7387,0,123.062,30.87,54.92,70.02,93.15,0.0
Control,https://csce-553-team.onrender.com,2,60.532,204,204,0,3.37,575.02,717.27,750.96,858.42,0.0
Read H 1,https://csce-553-team.onrender.com,1,60.222,192,0,192,0.0,301.89,404.5,438.23,472.28,1.0
Read H 2,https://csce-553-team.onrender.com,2,60.247,349,0,349,0.0,322.45,454.25,512.45,1348.72,1.0
Read H 1,https://csce-553-team.onrender.com,1,60.659,80,80,0,1.319,732.85,909.92,1010.47,1014.89,0.0
Read H 2,https://csce-553-team.onrender.com,2,60.584,177,177,0,2.922,676.29,784.52,836.57,843.36,0.0
Read H 4,https://csce-553-team.onrender.com,4,60.633,217,118,99,1.946,1238.49,1601.77,2723.93,3022.86,0.4562
Read H 8,https://csce-553-team.onrender.com,8,61.219,312,30,282,0.49,1580.38,1847.04,2232.26,2543.08,0.9038
Read H 16,https://csce-553-team.onrender.com,16,62.694,356,43,313,0.686,2887.13,3587.9,3892.55,4299.8,0.8792
Read L 1,http://127.0.0.1:8000,1,69.939,7,0,7,0.0,9954.79,10561.76,10703.19,10738.55,1.0
Read L 1,http://127.0.0.1:8000,1,60.398,60,60,0,0.993,1005.05,1072.76,1166.97,1181.26,0.0
Read L 2,http://127.0.0.1:8000,2,62.367,51,32,19,0.513,975.83,10514.49,10645.08,10724.38,0.3725
Read L 4,http://127.0.0.1:8000,4,63.266,22,0,22,0.0,10499.72,10857.95,25998.7,30022.45,1.0
Read L 8,http://127.0.0.1:8000,8,81.462,44,0,44,0.0,10418.16,30025.06,30028.32,30029.48,1.0
Read L 16,http://127.0.0.1:8000,16,81.85,92,0,92,0.0,10035.65,25290.18,30032.4,30035.32,1.0
write test,https://csce-553-team.onrender.com,1,86.789,5,0,5,0.0,3981.68,41175.64,41929.07,42117.43,1.0
write test 2,https://csce-553-team.onrender.com,1,60.102,61,0,61,0.0,329.13,3805.8,5897.01,6220.89,1.0
write test 2,https://csce-553-team.onrender.com,1,60.128,217,0,217,0.0,266.57,380.26,431.53,473.6,1.0
